Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorus,Fertilizer,Location,pH
30.04,79.65,67.91,Clay,Rice,77,68,25,DAP,Chikkamagaluru,5.96
28.22,68.62,11.61,Clay,Jowar,54,43,16,Compost,Hassan,6.77
29.37,48.71,5.0,Clay,Jowar,73,50,16,NPK,Belagavi,6.09
22.12,80.68,48.07,Clay,Sunflower,78,57,33,NPK,Udupi,6.18
19.71,72.83,48.76,Red,Sugarcane,120,122,34,DAP,Tumakuru,6.38
24.92,67.64,42.92,Black,Sugarcane,103,97,32,Urea,Tumakuru,7.39
26.14,45.84,30.0,Laterite,Coffee,51,42,8,DAP,Chitradurga,5.51
27.3,82.9,71.3,Laterite,Tur,32,20,27,NPK,Dakshina Kannada,5.72
27.24,62.81,60.03,Black,Rice,89,59,44,NPK,Davangere,7.08
31.33,32.86,17.37,Black,Maize,76,72,39,Compost,Ballari,7.18
27.67,79.97,68.35,Clay,Rice,107,68,38,NPK,Bengaluru,7.39
30.65,59.92,32.67,Laterite,Ragi,37,32,26,Compost,Chikkamagaluru,5.91
25.8,92.17,60.0,Clay,Ragi,44,36,31,Urea,Mangaluru,6.66
25.84,59.61,60.66,Sandy,Maize,114,44,31,NPK,Mandya,7.5
19.6,54.29,63.42,Clay,Coffee,53,55,5,DAP,Hassan,6.46
28.13,53.52,13.84,Clay,Jowar,29,60,19,Urea,Chitradurga,6.61
28.78,82.74,86.84,Sandy,Groundnut,32,37,63,DAP,Udupi,6.46
26.16,43.7,41.22,Clay,Coffee,46,66,24,Farmyard Manure,Bidar,7.25
35.77,34.76,30.0,Clay,Sugarcane,129,127,33,DAP,Kalaburagi,6.84
27.67,61.17,54.62,Clay,Sunflower,56,84,22,NPK,Hassan,6.57
31.66,53.83,54.36,Red,Tur,34,32,28,Compost,Davangere,5.99
23.4,82.73,62.16,Laterite,Groundnut,21,39,59,DAP,Dakshina Kannada,5.36
28.96,52.36,63.65,Sandy,Coffee,45,61,11,Farmyard Manure,Chitradurga,7.04
27.4,38.67,30.0,Black,Coffee,54,66,20,Farmyard Manure,Kalaburagi,7.11
23.68,73.81,86.78,Black,Sugarcane,121,92,52,MOP,Uttara Kannada,6.61
23.71,77.05,54.82,Clay,Coffee,42,64,13,Farmyard Manure,Udupi,6.95
34.37,40.05,35.73,Sandy,Tur,33,20,22,Compost,Vijayapura,6.86
33.24,34.76,46.89,Black,Rice,102,89,30,NPK,Ballari,7.13
29.83,40.3,33.37,Laterite,Groundnut,34,39,37,DAP,Vijayapura,5.42
23.12,47.79,30.0,Clay,Coffee,45,60,22,Farmyard Manure,Raichur,6.43
33.53,41.77,37.31,Sandy,Maize,70,42,32,NPK,Ballari,6.5
30.0,31.09,30.04,Clay,Coffee,40,51,23,Farmyard Manure,Bidar,6.32
27.73,77.26,60.0,Black,Jowar,62,31,19,Compost,Udupi,7.14
28.78,79.3,35.05,Red,Ragi,28,29,21,NPK,Dakshina Kannada,6.62
24.75,78.91,27.41,Clay,Jowar,47,53,24,Urea,Mysuru,6.55
26.64,53.91,30.03,Clay,Jowar,71,45,18,Compost,Ballari,6.21
35.07,57.1,30.84,Black,Sugarcane,129,139,30,DAP,Hubballi-Dharwad,6.73
25.58,78.68,26.39,Sandy,Cotton,63,74,40,NPK,Uttara Kannada,7.3
26.41,34.97,30.0,Clay,Coffee,38,67,23,Farmyard Manure,Kalaburagi,6.38
34.48,59.22,55.24,Red,Maize,99,41,29,NPK,Belagavi,5.45
30.75,47.51,15.3,Red,Sunflower,79,69,28,NPK,Hubballi-Dharwad,5.51
29.26,61.69,49.29,Laterite,Jowar,39,33,20,NPK,Chikkamagaluru,5.78
30.18,35.44,25.03,Red,Groundnut,44,27,47,DAP,Bidar,5.88
31.6,63.46,59.21,Clay,Rice,99,72,55,Urea,Tumakuru,6.61
25.72,53.6,67.43,Red,Rice,113,52,41,NPK,Hubballi-Dharwad,5.52
30.63,78.62,28.57,Black,Cotton,80,92,32,NPK,Mandya,7.47
29.26,62.01,57.09,Sandy,Maize,69,28,32,MOP,Davangere,6.64
27.06,66.84,12.07,Red,Ragi,37,19,14,NPK,Kolar,6.34
32.74,41.85,50.29,Black,Rice,91,63,52,Compost,Kalaburagi,7.43
30.41,56.15,32.63,Red,Maize,72,47,43,Compost,Kolar,6.14
23.57,81.92,66.94,Black,Groundnut,48,34,69,DAP,Uttara Kannada,6.71
36.16,34.08,33.15,Clay,Groundnut,38,45,57,DAP,Raichur,5.84
24.64,58.19,46.54,Clay,Rice,81,49,38,Urea,Chikkamagaluru,6.68
28.27,81.65,18.84,Sandy,Tur,30,27,23,NPK,Mysuru,6.63
32.63,29.47,26.89,Sandy,Cotton,71,57,23,NPK,Bidar,6.98
21.78,71.62,73.25,Black,Rice,109,66,50,Urea,Mangaluru,6.98
26.1,40.04,14.83,Sandy,Ragi,40,24,30,NPK,Davangere,6.59
27.97,89.21,60.0,Sandy,Ragi,34,24,28,Compost,Uttara Kannada,6.83
28.1,24.7,52.76,Clay,Coffee,43,52,19,Farmyard Manure,Vijayapura,5.79
27.29,49.33,35.43,Red,Sunflower,38,51,30,Urea,Chitradurga,5.78
30.84,69.04,21.41,Sandy,Ragi,50,36,27,Compost,Hubballi-Dharwad,6.58
23.78,88.09,95.0,Clay,Rice,89,60,37,NPK,Dakshina Kannada,6.5
31.74,83.8,5.04,Black,Cotton,71,82,30,NPK,Tumakuru,6.92
22.32,78.96,60.0,Clay,Sunflower,44,57,29,Urea,Uttara Kannada,5.79
31.44,43.1,7.72,Black,Maize,57,53,44,Urea,Ballari,7.06
31.17,62.84,53.62,Laterite,Sunflower,71,55,26,Urea,Hassan,5.48
29.81,46.37,16.22,Red,Ragi,38,33,19,Urea,Davangere,6.27
30.25,34.32,40.0,Clay,Rice,113,76,59,Compost,Bidar,6.28
31.15,53.53,14.3,Red,Ragi,36,31,18,NPK,Hubballi-Dharwad,5.8
30.64,54.99,65.85,Clay,Sugarcane,131,117,30,DAP,Hassan,6.23
30.61,51.8,30.13,Black,Maize,83,60,35,NPK,Vijayapura,7.68
28.58,55.9,45.55,Sandy,Ragi,33,20,10,Compost,Mysuru,7.19
26.29,82.81,95.0,Red,Rice,89,49,36,NPK,Udupi,6.0
27.63,81.34,72.21,Clay,Sugarcane,89,85,52,Urea,Mangaluru,6.35
34.09,35.39,19.11,Red,Tur,18,23,25,NPK,Raichur,4.7
28.99,59.21,39.0,Red,Ragi,36,33,25,Compost,Tumakuru,6.47
23.47,70.47,32.65,Laterite,Jowar,55,33,13,Compost,Mysuru,5.39
29.01,51.85,59.59,Clay,Sugarcane,130,127,57,Farmyard Manure,Ballari,7.42
29.62,65.05,40.0,Clay,Rice,102,67,23,DAP,Chitradurga,6.62
22.51,86.22,93.52,Sandy,Tur,28,32,31,NPK,Uttara Kannada,6.75
27.76,70.22,27.93,Clay,Tur,40,19,18,NPK,Hassan,6.78
32.82,45.58,5.0,Clay,Tur,31,26,19,NPK,Bidar,6.73
24.29,55.98,63.86,Clay,Sugarcane,114,101,21,DAP,Hubballi-Dharwad,6.43
25.31,73.12,24.58,Clay,Jowar,35,35,22,Compost,Hassan,6.59
24.55,61.25,42.34,Black,Coffee,57,66,24,Farmyard Manure,Davangere,6.42
28.92,58.33,34.19,Black,Cotton,62,57,32,Compost,Davangere,6.58
